SMT Query ID,Position,Function,VC Details,Validity,Solver,Solving Time (sec)
5817,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:734:5:,addSameAsAddTwiceSameKeyDiffValues,precond. (call lemmaInsertStrictlySortedErasesIfSame...),valid,z3,0.1
11415,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:895:7:,addStillContains,body assertion: Inlined precondition of lemmaInsertStrictlySortedDoesNotModifyOtherKeysContained,valid,z3,0.1
11416,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:895:7:,addStillContains,postcondition,valid,z3,0.1
11414,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:895:7:,addStillContains,precond. (call lemmaInsertStrictlySortedDoesNotModif...),valid,z3,0.1
11417,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:900:8:,addStillContains,postcondition,valid,z3,0.1
11704,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:914:5:,addStillNotContains,body assertion: Inlined precondition of lemmaInsertStrictlySortedDoesNotModifyOtherKeysNotContained,valid,z3,0.1
11705,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:914:5:,addStillNotContains,postcondition,valid,z3,0.1
11703,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:914:5:,addStillNotContains,precond. (call lemmaInsertStrictlySortedDoesNotModif...),valid,z3,0.1
8753,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:762:5:,addThenRemoveForNewKeyIsSame,body assertion: Inlined precondition (1/2) of lemmaInsertStrictlySortedThenRemoveIsSame,valid,z3,0.1
8754,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:762:5:,addThenRemoveForNewKeyIsSame,body assertion: Inlined precondition (2/2) of lemmaInsertStrictlySortedThenRemoveIsSame,valid,z3,0.1
8755,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:762:5:,addThenRemoveForNewKeyIsSame,postcondition,valid,z3,0.1
8751,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:762:5:,addThenRemoveForNewKeyIsSame,precond. (call lemmaInsertStrictlySortedThenRemoveIs... (require 1/2)),valid,z3,0.1
8752,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:762:5:,addThenRemoveForNewKeyIsSame,precond. (call lemmaInsertStrictlySortedThenRemoveIs... (require 2/2)),valid,z3,0.1
3046,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:797:15:,addValidProp,non-negative measure,valid,z3,0.1
3047,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:800:7:,addValidProp,body assertion: Inlined precondition of addValidProp,valid,z3,0.1
3048,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:800:7:,addValidProp,measure decreases,valid,z3,0.1
3045,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:800:7:,addValidProp,"precond. (call addValidProp[B](lm, p, a, b))",valid,z3,0.1
3044,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:800:20:,addValidProp,precond. (call tail[B](lm)),valid,z3,0.1
3050,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:804:5:,addValidProp,postcondition,valid,z3,0.2
3049,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:804:5:,addValidProp,postcondition,valid,z3,0.4
11522,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:67:5:,apply,precond. (call get[B]({   val thiss: ListLongMap[B] ...),valid,z3,0.1
5836,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:66:9:,apply,postcondition,valid,z3,0.2
5832,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:68:7:,apply,"precond. (call apply[V](thiss.underlying.v, key))",valid,z3,0.1
5833,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:71:17:,apply,"precond. (call contains[V](thiss, key))",valid,z3,0.1
5835,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:71:39:,apply,precond. (call get[V]({   val thiss: ListLongMap[V] ...),valid,z3,0.4
5834,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:71:39:,apply,precond. (call map[V](thiss)),valid,z3,0.1
5892,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:494:47:,apply,postcondition,valid,z3,0.7
5893,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:495:64:,apply,postcondition,valid,z3,0.6
5894,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:496:14:,apply,postcondition,valid,z3,0.2
5849,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:498:28:,apply,"precond. (call seekEntry(key, thiss._keys, thiss.mask) (require 1/3))",valid,z3,0.1
5850,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:498:28:,apply,"precond. (call seekEntry(key, thiss._keys, thiss.mask) (require 2/3))",valid,z3,0.2
5851,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:498:28:,apply,"precond. (call seekEntry(key, thiss._keys, thiss.mask) (require 3/3))",valid,z3,0.1
5895,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19:,apply,body assertion: Inlined precondition (1/9) of lemmaSeekEntryGivesInRangeIndex,valid,z3,0.1
5896,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19:,apply,body assertion: Inlined precondition (2/9) of lemmaSeekEntryGivesInRangeIndex,valid,z3,0.3
5897,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19:,apply,body assertion: Inlined precondition (3/9) of lemmaSeekEntryGivesInRangeIndex,valid,z3,0.2
5898,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19:,apply,body assertion: Inlined precondition (4/9) of lemmaSeekEntryGivesInRangeIndex,valid,z3,0.2
5899,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19:,apply,body assertion: Inlined precondition (5/9) of lemmaSeekEntryGivesInRangeIndex,valid,z3,0.2
5900,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19:,apply,body assertion: Inlined precondition (6/9) of lemmaSeekEntryGivesInRangeIndex,valid,z3,0.2
5901,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19:,apply,body assertion: Inlined precondition (7/9) of lemmaSeekEntryGivesInRangeIndex,valid,z3,0.2
5902,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19:,apply,body assertion: Inlined precondition (8/9) of lemmaSeekEntryGivesInRangeIndex,valid,z3,0.2
5903,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19:,apply,body assertion: Inlined precondition (9/9) of lemmaSeekEntryGivesInRangeIndex,valid,z3,0.2
5852,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19:,apply,precond. (call lemmaSeekEntryGivesInRangeIndex[V](_k... (require 1/9)),valid,z3,0.1
5853,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19:,apply,precond. (call lemmaSeekEntryGivesInRangeIndex[V](_k... (require 2/9)),valid,z3,0.1
5854,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19:,apply,precond. (call lemmaSeekEntryGivesInRangeIndex[V](_k... (require 3/9)),valid,z3,0.1
5855,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19:,apply,precond. (call lemmaSeekEntryGivesInRangeIndex[V](_k... (require 4/9)),valid,z3,0.1
5856,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19:,apply,precond. (call lemmaSeekEntryGivesInRangeIndex[V](_k... (require 5/9)),valid,z3,0.1
5857,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19:,apply,precond. (call lemmaSeekEntryGivesInRangeIndex[V](_k... (require 6/9)),valid,z3,0.1
5858,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19:,apply,precond. (call lemmaSeekEntryGivesInRangeIndex[V](_k... (require 7/9)),valid,z3,0.1
5859,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19:,apply,precond. (call lemmaSeekEntryGivesInRangeIndex[V](_k... (require 8/9)),valid,z3,0.1
5860,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19:,apply,precond. (call lemmaSeekEntryGivesInRangeIndex[V](_k... (require 9/9)),valid,z3,0.1
5904,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:502:23:,apply,body assertion: Inlined precondition (1/4) of lemmaArrayContainsFromImpliesContainsFromZero,valid,z3,0.1
5905,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:502:23:,apply,body assertion: Inlined precondition (2/4) of lemmaArrayContainsFromImpliesContainsFromZero,valid,z3,0.1
5906,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:502:23:,apply,body assertion: Inlined precondition (3/4) of lemmaArrayContainsFromImpliesContainsFromZero,valid,z3,0.3
5907,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:502:23:,apply,body assertion: Inlined precondition (4/4) of lemmaArrayContainsFromImpliesContainsFromZero,valid,z3,0.2
5861,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:502:23:,apply,precond. (call lemmaArrayContainsFromImpliesContains... (require 1/4)),valid,z3,0.1
